Country,Met coal mined (ttpa),Iron ore mined (ttpa),Met coal consumed by pig iron production (ttpa),Iron ore consumed by pig iron production (ttpa),Iron ore consumed by DRI production (ttpa),Total iron ore consumed by pig iron and DRI production (ttpa),Pig iron produced (ttpa),DRI produced (ttpa)	
Latvia,0,0,0,unknown,unknown,unknown,unknown,unknown	
Lebanon,0,0,0,unknown,unknown,unknown,unknown,unknown	
Lesotho,0,0,0,unknown,unknown,unknown,unknown,unknown	
Liberia,0,5.600,0,unknown,unknown,unknown,unknown,unknown	
Libya,0,0,0,0,2.380,2.380,0,1.700	
Liechtenstein,0,0,0,unknown,unknown,unknown,unknown,unknown	
Lithuania,0,0,0,unknown,unknown,unknown,unknown,unknown	
Luxembourg,0,0,0,unknown,unknown,unknown,unknown,unknown	
Madagascar,0,0,0,unknown,unknown,unknown,unknown,unknown	
Malawi,60,0,0,unknown,unknown,unknown,unknown,unknown	
Malaysia,0,3.622,4.992,10.240,1.120,11.360,6.400,800	
Maldives,0,0,0,unknown,unknown,unknown,unknown,unknown	
Mali,0,1.080,0,unknown,unknown,unknown,unknown,unknown	
Malta,0,0,0,unknown,unknown,unknown,unknown,unknown	
Marshall Islands,0,0,0,unknown,unknown,unknown,unknown,unknown	
Mauritania,0,8.659,0,unknown,unknown,unknown,unknown,unknown	
Mauritius,0,0,0,unknown,unknown,unknown,unknown,unknown	
Mexico,0,23.135,390,800,6.580,7.380,500,4.700	
Micronesia,0,0,0,unknown,unknown,unknown,unknown,unknown	
Moldova,0,0,0,unknown,unknown,unknown,unknown,unknown	
Monaco,0,0,0,unknown,unknown,unknown,unknown,unknown	
Mongolia,39.685,9.090,0,unknown,unknown,unknown,unknown,unknown	
Montenegro,0,0,0,unknown,unknown,unknown,unknown,unknown	
Morocco,0,54,0,unknown,unknown,unknown,unknown,unknown	
Mozambique,2.996,0,0,unknown,unknown,unknown,unknown,unknown	
Myanmar,0,0,0,unknown,unknown,unknown,unknown,unknown	
Namibia,0,1.800,0,unknown,unknown,unknown,unknown,unknown	
Nauru,0,0,0,unknown,unknown,unknown,unknown,unknown	
Nepal,0,0,0,unknown,unknown,unknown,unknown,unknown	
Netherlands,0,0,4.368,8.960,0,8.960,5.600,0	
New Zealand,1.150,1.890,0,960,913,1.873,600,652	
Nicaragua,0,0,0,unknown,unknown,unknown,unknown,unknown	
Niger,0,0,0,unknown,unknown,unknown,unknown,unknown	
Nigeria,0,2.250,0,unknown,unknown,unknown,unknown,unknown	
North Korea,0,6.886,4.094,8.398,0,8.398,5.249,0	
North Macedonia,0,0,0,unknown,unknown,unknown,unknown,unknown	
Norway,84,1.848,0,unknown,unknown,unknown,unknown,unknown	
Oman,0,0,0,0,2.240,2.240,0,1.600	
Pakistan,0,0,0,unknown,unknown,unknown,unknown,unknown	
Palau,0,0,0,unknown,unknown,unknown,unknown,unknown	
Palestine,0,0,0,unknown,unknown,unknown,unknown,unknown	
Panama,0,0,0,unknown,unknown,unknown,unknown,unknown	
Papua New Guinea,0,0,0,unknown,unknown,unknown,unknown,unknown	
Paraguay,0,0,0,unknown,unknown,unknown,unknown,unknown	
Peru,0,22.095,0,unknown,unknown,unknown,unknown,unknown	
Philippines,0,6.350,0,unknown,unknown,unknown,unknown,unknown	
Poland,16.551,0,2.652,5.440,0,5.440,3.400,0	
Portugal,0,0,0,unknown,unknown,unknown,unknown,unknown	
Qatar,0,0,0,0,2.800,2.800,0,2.000	
Republic of the Congo,0,0,0,unknown,unknown,unknown,unknown,unknown	
Romania,0,0,0,640,unknown,640,400,unknown	
Russia,117.343,106.598,39.936,81.920,11.200,93.120,51.200,8.000	
Rwanda,0,0,0,unknown,unknown,unknown,unknown,unknown	
Saint Kitts and Nevis,0,0,0,unknown,unknown,unknown,unknown,unknown	
Saint Lucia,0,0,0,unknown,unknown,unknown,unknown,unknown	
Saint Vincent and the Grenadines,0,0,0,unknown,unknown,unknown,unknown,unknown	
Samoa,0,0,0,unknown,unknown,unknown,unknown,unknown	
San Marino,0,0,0,unknown,unknown,unknown,unknown,unknown	
Sao Tome and Principe,0,0,0,unknown,unknown,unknown,unknown,unknown	
Saudi Arabia,0,0,0,0,9.660,9.660,0,6.900	
Senegal,0,0,0,unknown,unknown,unknown,unknown,unknown	
Serbia,0,0,1.014,2.080,0,2.080,1.300,0	
Seychelles,0,0,0,unknown,unknown,unknown,unknown,unknown	
Sierra Leone,0,10.688,0,unknown,unknown,unknown,unknown,unknown	
Singapore,0,0,0,unknown,unknown,unknown,unknown,unknown	
Slovakia,0,0,3.900,8.000,0,8.000,5.000,0	
Slovenia,0,0,0,unknown,unknown,unknown,unknown,unknown	
Solomon Islands,0,0,0,unknown,unknown,unknown,unknown,unknown	
Somalia,0,0,0,unknown,unknown,unknown,unknown,unknown	
South Africa,32.621,58.517,2.106,4.320,280,4.600,2.700,200	
South Korea,0,900,34.476,70.720,420,71.140,44.200,300	
South Sudan,0,0,0,unknown,unknown,unknown,unknown,unknown	
Spain,0,2.025,2.652,5.440,0,5.440,3.400,0	
Sri Lanka,0,0,0,unknown,unknown,unknown,unknown,unknown	
Sudan,0,0,0,unknown,unknown,unknown,unknown,unknown	
Suriname,0,0,0,unknown,unknown,unknown,unknown,unknown	
Sweden,0,31.500,1.950,4.000,13,4.013,2.500,9	
Switzerland,0,0,0,unknown,unknown,unknown,unknown,unknown	
Syria,0,0,234,480,0,480,300,0	
Taiwan,0,0,11.622,23.840,0,23.840,14.900,0	
Tajikistan,800,0,0,unknown,unknown,unknown,unknown,unknown	
Tanzania,625,0,0,unknown,unknown,unknown,unknown,unknown	
Thailand,0,745,0,unknown,unknown,unknown,unknown,unknown	
The Gambia,0,0,0,unknown,unknown,unknown,unknown,unknown	
Timor-Leste,0,0,0,unknown,unknown,unknown,unknown,unknown	
Togo,0,0,0,unknown,unknown,unknown,unknown,unknown	
Tonga,0,0,0,unknown,unknown,unknown,unknown,unknown	
Trinidad and Tobago,0,0,0,0,1.960,1.960,0,1.400	
Tunisia,0,255,0,unknown,unknown,unknown,unknown,unknown	
T rkiye,137,8.055,7.956,16.320,0,16.320,10.200,0	
Turkmenistan,0,0,0,unknown,unknown,unknown,unknown,unknown	
Tuvalu,0,0,0,unknown,unknown,unknown,unknown,unknown	
Uganda,0,0,0,0,1.400,1.400,0,1.000	
Ukraine,1.000,68.085,5.538,11.360,0,11.360,7.100,0	
United Arab Emirates,0,0,0,0,4.900,4.900,0,3.500	
United Kingdom,80,0,2.340,4.800,0,4.800,3.000,0	
United States,49.152,33.240,16.068,32.960,7.700,40.660,20.600,5.500	
Uruguay,0,0,0,unknown,unknown,unknown,unknown,unknown	
Uzbekistan,0,2.250,0,unknown,unknown,unknown,unknown,unknown	
Vanuatu,0,0,0,unknown,unknown,unknown,unknown,unknown	
Venezuela,4.800,11,0,0,420,420,0,300	
Vietnam,0,4.431,12.418,25.472,0,25.472,15.920,0	
Western Sahara,0,0,0,unknown,unknown,unknown,unknown,unknown	
Yemen,0,0,0,unknown,unknown,unknown,unknown,unknown	
Zambia,0,0,0,unknown,140,140,unknown,100	
Zimbabwe,3.875,0,468,960,0,960,600,0	
 land Islands,0,0,0,unknown,unknown,unknown,unknown,unknown	
American Samoa,0,0,0,unknown,unknown,unknown,unknown,unknown	
Anguilla,0,0,0,unknown,unknown,unknown,unknown,unknown	
Antarctica,0,0,0,unknown,unknown,unknown,unknown,unknown	
Aruba,0,0,0,unknown,unknown,unknown,unknown,unknown	
Bermuda,0,0,0,unknown,unknown,unknown,unknown,unknown	
Bonaire; Sint Eustatius and Saba,0,0,0,unknown,unknown,unknown,unknown,unknown	
Bouvet Island,0,0,0,unknown,unknown,unknown,unknown,unknown	
British Indian Ocean Territory,0,0,0,unknown,unknown,unknown,unknown,unknown	
Cayman Islands,0,0,0,unknown,unknown,unknown,unknown,unknown	
Christmas Island,0,0,0,unknown,unknown,unknown,unknown,unknown	
Cocos (Keeling) Islands,0,0,0,unknown,unknown,unknown,unknown,unknown	
Cook Islands,0,0,0,unknown,unknown,unknown,unknown,unknown	
Cura ao,0,0,0,unknown,unknown,unknown,unknown,unknown	
Falkland Islands,0,0,0,unknown,unknown,unknown,unknown,unknown	
Faroe Islands,0,0,0,unknown,unknown,unknown,unknown,unknown	
French Guiana,0,0,0,unknown,unknown,unknown,unknown,unknown	
French Polynesia,0,0,0,unknown,unknown,unknown,unknown,unknown	
French Southern Territories,0,0,0,unknown,unknown,unknown,unknown,unknown	
Gibraltar,0,0,0,unknown,unknown,unknown,unknown,unknown	
Greenland,0,0,0,unknown,unknown,unknown,unknown,unknown	
Guadeloupe,0,0,0,unknown,unknown,unknown,unknown,unknown	
Guam,0,0,0,unknown,unknown,unknown,unknown,unknown	
Guernsey,0,0,0,unknown,unknown,unknown,unknown,unknown	
Heard Island and McDonald Islands,0,0,0,unknown,unknown,unknown,unknown,unknown	
Hong Kong,0,0,0,unknown,unknown,unknown,unknown,unknown	
Isle of Man,0,0,0,unknown,unknown,unknown,unknown,unknown	
Jersey,0,0,0,unknown,unknown,unknown,unknown,unknown	
Macao ,0,0,0,unknown,unknown,unknown,unknown,unknown	
Martinique,0,0,0,unknown,unknown,unknown,unknown,unknown	
Mayotte,0,0,0,unknown,unknown,unknown,unknown,unknown	
Montserrat,0,0,0,unknown,unknown,unknown,unknown,unknown	
New Caledonia,0,0,0,unknown,unknown,unknown,unknown,unknown	
Niue,0,0,0,unknown,unknown,unknown,unknown,unknown	
Norfolk Island,0,0,0,unknown,unknown,unknown,unknown,unknown	
Northern Mariana Islands,0,0,0,unknown,unknown,unknown,unknown,unknown	
Pitcairn,0,0,0,unknown,unknown,unknown,unknown,unknown	
Puerto Rico,0,0,0,unknown,unknown,unknown,unknown,unknown	
R union,0,0,0,unknown,unknown,unknown,unknown,unknown	
Saint Barth lemy,0,0,0,unknown,unknown,unknown,unknown,unknown	
Saint Helen;a Ascension and Tristan da Cunha,0,0,0,unknown,unknown,unknown,unknown,unknown	
Saint Martin (French part),0,0,0,unknown,unknown,unknown,unknown,unknown	
Saint Pierre and Miquelon,0,0,0,unknown,unknown,unknown,unknown,unknown	
Sint Maarten (Dutch part),0,0,0,unknown,unknown,unknown,unknown,unknown	
South Georgia and the South Sandwich Islands,0,0,0,unknown,unknown,unknown,unknown,unknown	
Svalbard and Jan Mayen,0,0,0,unknown,unknown,unknown,unknown,unknown	
Tokelau,0,0,0,unknown,unknown,unknown,unknown,unknown	
Turks and Caicos Islands,0,0,0,unknown,unknown,unknown,unknown,unknown	
United States Minor Outlying Islands,0,0,0,unknown,unknown,unknown,unknown,unknown	
Virgin Islands (British) ,0,0,0,unknown,unknown,unknown,unknown,unknown	
Virgin Islands (U.S.),0,0,0,unknown,unknown,unknown,unknown,unknown	
Wallis and Futuna,0,0,0,unknown,unknown,unknown,unknown,unknown	
Global,1.545.232,2.548.632,1.022.678,2.099.880,206.273,2.306.153,1.312.425,147.338	
